Testwerte zur Berechnung von Neigungswinkeln aus Wellenlängenpaaren
*******************************************************************

Ordnung m               : 1
Gitterkonstante [µm]    : 0.769231
Minimum Wellenlänge [nm]: 430.0000
Messbereich [grad]      : 5
Einfallswinkel [grad]   : -47.1089

 Sensorneigung  |   Transformationsparameter  |Wellenlänge am |Wellenlänge am
  bx   |   by   |  Theta  |    Phi        t   |diagonalen Stab|vertikalen Stab
[grad] | [grad] |  [grad] |   [grad]     []   |     [nm]      |    [nm]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-4.000 |  2.500 |   4.713 |   58.020 |  0.499 |    583.77307  |    683.34980  
-4.000 |  3.000 |   4.994 |   53.150 |  0.599 |    577.04963  |    683.34980  
-4.000 |  3.500 |   5.308 |   48.825 |  0.698 |    570.31695  |    683.34980  
-4.000 |  4.000 |   5.648 |   45.000 |  0.798 |    563.57552  |    683.34980  
-4.000 |  4.500 |   6.010 |   41.621 |  0.898 |    556.82586  |    683.34980  
-4.000 |  5.000 |   6.391 |   38.634 |  0.998 |    550.06849  |    683.34980  
-3.500 | -5.000 |   6.093 |  145.043 | -0.998 |    676.67985  |    676.80155  
-3.500 | -4.500 |   5.692 |  142.148 | -0.898 |    670.12634  |    676.80155  
-3.500 | -4.000 |   5.308 |  138.825 | -0.799 |    663.55813  |    676.80155  
-3.500 | -3.500 |   4.944 |  135.000 | -0.699 |    656.97566  |    676.80155  
-3.500 | -3.000 |   4.605 |  130.592 | -0.599 |    650.37935  |    676.80155  
-3.500 | -2.500 |   4.298 |  125.521 | -0.499 |    643.76965  |    676.80155  
-3.500 | -2.000 |   4.029 |  119.724 | -0.399 |    637.14699  |    676.80155  
-3.500 | -1.500 |   3.806 |  113.178 | -0.299 |    630.51184  |    676.80155  
-3.500 | -1.000 |   3.639 |  105.928 | -0.200 |    623.86463  |    676.80155  
-3.500 | -0.500 |   3.535 |   98.120 | -0.100 |    617.20585  |    676.80155  
-3.500 |  0.000 |   3.500 |   90.000 |  0.000 |    610.53594  |    676.80155  
-3.500 |  0.500 |   3.535 |   81.880 |  0.100 |    603.85538  |    676.80155  
-3.500 |  1.000 |   3.639 |   74.072 |  0.200 |    597.16465  |    676.80155  
-3.500 |  1.500 |   3.806 |   66.822 |  0.299 |    590.46423  |    676.80155  
-3.500 |  2.000 |   4.029 |   60.276 |  0.399 |    583.75461  |    676.80155  
-3.500 |  2.500 |   4.298 |   54.479 |  0.499 |    577.03629  |    676.80155  
-3.500 |  3.000 |   4.605 |   49.408 |  0.599 |    570.30976  |    676.80155  
-3.500 |  3.500 |   4.944 |   45.000 |  0.699 |    563.57552  |    676.80155  
-3.500 |  4.000 |   5.308 |   41.175 |  0.799 |    556.83409  |    676.80155  
-3.500 |  4.500 |   5.692 |   37.852 |  0.898 |    550.08599  |    676.80155  
-3.500 |  5.000 |   6.093 |   34.957 |  0.998 |    543.33173  |    676.80155  
